f0_mean,f1_mean,f2_mean,mfc0_mean,mfc1_mean,mfc2_mean,mfc3_mean,mfc4_mean,mfc5_mean,mfc6_mean,mfc7_mean,mfc8_mean,mfc9_mean,mfc10_mean,mfc11_mean,f0_std,f1_std,f2_std,mfc0_std,mfc1_std,mfc2_std,mfc3_std,mfc4_std,mfc5_std,mfc6_std,mfc7_std,mfc8_std,mfc9_std,mfc10_std,mfc11_std,f0_max,f1_max,f2_max,mfc0_max,mfc1_max,mfc2_max,mfc3_max,mfc4_max,mfc5_max,mfc6_max,mfc7_max,mfc8_max,mfc9_max,mfc10_max,mfc11_max,f0_median,f1_median,f2_median,mfc0_median,mfc1_median,mfc2_median,mfc3_median,mfc4_median,mfc5_median,mfc6_median,mfc7_median,mfc8_median,mfc9_median,mfc10_median,mfc11_median,f0_min,f1_min,f2_min,mfc0_min,mfc1_min,mfc2_min,mfc3_min,mfc4_min,mfc5_min,mfc6_min,mfc7_min,mfc8_min,mfc9_min,mfc10_min,mfc11_min,class
425.3710546275866,763.8481168413792,2019.238543586207,215.53447972068975,-78.38086109695864,-40.96567981503447,27.429967415744837,-55.666667023227554,-63.538487265772396,-12.162613352464135,-54.11017167562759,-20.346689145696555,34.74103985283244,17.91677068086689,-3.5209659017468997,172.18414967111508,196.4025960248507,171.45293988259633,247.57865243435313,74.81719639507713,46.51082924404772,31.877062719168098,42.81535615316675,61.60768659493577,23.41931043422328,44.550952732381674,29.26546146441659,33.48010111666177,29.668579701094412,24.80212769088852,799.07489,1192.9964,2487.1253,517.962939,66.38636439999999,39.2030848,113.022292,37.22414379999999,30.9657447,50.53372279999999,18.5184712,39.3868474,105.248269,108.877657,60.7544996,301.794513,707.241716,1983.29792,327.508767,-74.7379012,-26.365244399999995,27.8468257,-66.0689961,-51.6359815,-8.34132795,-54.75503730000001,-14.6513187,35.1882874,7.49275097,-2.90683446,299.732963,426.560847,1730.55205,-160.155725,-283.24674,-168.402289,-25.6471586,-157.197602,-187.825121,-84.30806899999997,-150.108875,-80.78871840000002,-21.9830513,-25.2675066,-65.3918358,laugh
178.25279950399997,1013.0178130799999,1974.0216874399998,169.20339479199993,-132.87183719904002,-71.73925810117602,-1.2142631815039984,-80.81170983807998,-35.953331112231986,5.541381195224001,-30.490973843309607,-21.073598556584006,11.6130565876704,-17.083148099495997,-48.39831650373599,183.54457617484238,92.63728919487986,317.3541673456687,340.4163552681099,155.12300747386567,65.61968636606389,24.026576167640346,77.01192418946108,44.41309343539888,21.662242334440176,33.79974437211154,32.65387723723499,23.36066596433179,26.093854546529258,52.19834686793976,478.028668,1195.46851,2491.78058,588.095829,44.4273737,9.70202752,71.4498935,28.6056276,28.5668853,62.77426679999999,33.514412,37.20834779999999,89.01046550000002,24.4462182,18.0837957,0.0,1034.57088,2063.67508,314.963321,-146.74133700000004,-36.4700674,-0.916070714,-104.99478,-12.5686718,1.33103357,-21.1554013,-10.8866674,8.00225207,-7.48054998,-24.891291100000004,0.0,795.240404,1057.23246,-214.764864,-396.833495,-222.90981,-57.78045079999999,-215.903359,-131.041438,-29.669343,-114.54984,-104.479802,-35.5506271,-103.449052,-148.201474,laugh
366.5349647482008,1414.2176851151053,1861.772893597122,343.9094970575541,-428.02544694964047,-101.47430740604311,29.461499089309353,-149.01607130719427,16.460213622877703,28.916641005161864,-103.29816663453241,-1.5469905081424464,-3.0318635077769773,-75.46699951510791,22.38724431684892,102.10399570054777,91.05640551813946,255.22738998175936,56.005189722489376,106.10799937197655,43.76525618175816,43.16823461773933,45.92702589774979,20.20070979751294,25.24702378566559,33.905596460776884,21.413540966249354,23.645424567810643,26.21189031213956,24.392624875003236,791.836727,1441.61669,2489.14336,481.155764,-210.017429,-2.03485301,119.415531,-24.060555,63.1585406,85.1092575,-29.2325787,57.3682074,75.3440502,-19.3100469,88.67906590000003,329.367513,1441.61669,1850.19391,353.688402,-451.226635,-111.057361,23.0845825,-154.274891,17.631075600000006,24.7727135,-110.55411,-2.51301109,-2.17958512,-75.88867409999997,20.734306600000004,266.616831,972.411301,1336.92133,226.84545,-614.783621,-189.258825,-53.54532510000001,-230.403207,-33.0795503,-27.81163,-162.534817,-48.8917348,-73.7399983,-133.701271,-26.3480498,laugh
440.4178383931031,980.7509461379311,1588.0498817241387,350.4740387448276,-201.52328372772413,-117.70662818606895,0.17660366973792707,-74.7149370917931,8.287892767731048,53.58071540329652,-32.29382754817241,-38.42344610715243,-18.687056798151723,-50.29310887655171,-21.954612007434488,198.75235609057046,157.5784217236331,199.75928416012314,95.41270945646151,121.3553062890054,59.86905224229144,39.45141403097014,49.29292028455214,56.91808571259775,35.45800993500872,19.540669491185326,30.965154373046538,27.805972463836973,27.19635673858151,63.261700611848504,799.457975,1173.93636,2312.03949,552.596468,54.2376447,19.8454339,69.3963894,29.190901300000004,126.44895,129.141779,20.4660512,15.1420449,32.2093921,7.23036167,79.49102990000002,309.058822,1068.57374,1563.18545,327.97603,-200.989284,-128.765535,-2.54800696,-68.8831965,7.94937306,44.8068914,-32.3497417,-31.820916600000004,-14.068307,-47.11505379999999,-9.375791,291.905011,195.860274,1152.73462,188.843767,-446.31969,-221.057629,-83.818081,-170.951155,-110.941155,-8.82117533,-80.2841482,-136.449384,-110.407504,-110.738791,-157.80361499999995,laugh
408.1618780896552,868.2238782068963,1722.2176053103449,382.0604659772415,-190.37725906827595,-79.36884585813792,16.683748697765516,-86.29087092924141,1.5634111669103443,20.632787047658624,-54.80600321475863,-15.264147296344131,-6.909170930302068,-49.52250448027587,-17.76326560073448,180.0668102365834,104.09968844036966,295.7412726567864,114.94028715853501,76.92146697655815,35.28086207283828,24.20516801339132,34.47535098609142,37.29310453893623,55.15675337665046,34.97236772911162,24.731553334266415,36.91647475099228,31.346065230915418,37.96969839010816,759.717032,1196.26572,2461.38671,536.518513,-14.1714479,3.64790568,61.52853470000001,37.6924376,83.2048052,148.09409499999995,31.7039409,39.48362279999999,54.98627310000001,16.3782514,107.123071,298.456118,908.972824,1646.51565,410.328645,-202.946539,-80.0325172,19.9739149,-90.2702691,-5.27323441,8.24233667,-57.3603609,-8.977546,-1.6987286,-49.181831,-19.494753600000006,240.654504,465.071638,1203.59331,77.4649349,-320.498076,-171.426063,-64.17528979999999,-147.578934,-64.67609250000001,-67.653283,-127.321646,-92.9081802,-104.826635,-118.92283799999998,-89.890742,laugh
290.28287004799967,857.8700446239994,1900.8355483999994,445.850798432,-214.96028955280013,-85.21354343995438,29.768783940368003,-114.97762738800003,-51.240863585439975,8.463215963607997,-47.37218327535997,-14.837168752736009,23.894148768143996,-25.466595068767994,-54.437344775495994,39.32677681464849,100.29608688978638,216.7797529569448,111.16661470359051,65.27029439848091,43.819906493582955,29.866863485671615,34.459086679557636,43.26481692254841,28.948575111623068,23.533542652354768,34.86437344660102,19.036139128602574,19.546629168950343,37.079384319423056,378.967936,1109.13695,2373.17408,550.651603,-39.20639910000001,0.239347638,90.4654915,-33.3601002,38.558566,73.7360754,-6.03936419,61.8459874,79.9536657,16.126993900000002,11.602455,273.483441,844.411775,1909.63876,483.351867,-207.113819,-92.2382213,35.0996592,-117.464652,-50.7095311,4.18334492,-44.9759169,-15.9135003,25.4904292,-22.7352343,-50.9209063,237.053826,646.404208,1371.8251300000004,185.921931,-349.131621,-193.987213,-46.90420770000001,-194.409141,-157.399151,-48.5651433,-128.206108,-108.933337,-21.9018585,-82.63590359999998,-142.311138,laugh
423.45570002127664,852.1116810921989,1705.01249548227,407.703495716312,-225.82209817468797,-102.46159736397165,19.710287426340415,-122.14038034808513,-62.600655634936174,13.39298613027659,-44.30072290655318,-28.07393862220567,3.223299020951558,-53.596773141631175,-44.39911149007092,206.8719614926546,97.63606442270206,374.5986500276332,104.88647901708569,89.29478509972533,49.71969177482106,33.18531655908535,56.74784524143451,78.75474483952989,54.10247819104066,26.955975621339675,31.87912703096251,45.91627762177815,33.684906760645816,78.28804577679551,799.9306339999998,1114.18219,2450.89871,567.197074,-0.383928891,40.0587261,108.29535,35.61378029999999,119.988578,183.103773,25.0565336,37.87835220000001,79.74875949999998,4.45568859,178.481639,305.76217,879.586242,1668.57931,463.380739,-225.760555,-105.733009,17.3378546,-138.486718,-91.9890032,-6.71606572,-44.51362720000001,-24.8649893,16.632890300000003,-50.9924381,-75.67409649999998,102.402161,373.591428,860.3112130000002,186.11974,-442.584234,-246.79555,-84.23300429999998,-224.959731,-181.044086,-73.920436,-110.738641,-109.2272,-133.172575,-148.282248,-141.734627,laugh
356.30413320689655,1091.3729897034489,1870.4165456551718,460.4720319793105,-328.0423905310346,-107.41553926965516,27.988414535537927,-130.99786993448276,9.528196638199997,45.463605744110325,-88.59413882758618,-12.273098345534482,28.094628412556556,-75.08497758179311,-38.378873939191045,33.36256490790584,107.61346187010037,286.87141696983616,52.27611245222732,78.12132629453122,27.46893017822478,31.40556448122553,37.00632727016421,31.75877400805264,26.62585580338782,29.217837739516394,27.839714438638378,27.500437866866086,24.722509041277114,23.940520521109786,517.356566,1191.22834,2442.61329,599.981459,-116.11395,-36.9778221,86.2100172,-47.8719099,99.2895652,96.9980195,-23.177586,51.1389441,100.395929,-7.93150666,12.9981147,341.888756,1147.5226699999996,1888.96037,461.24551900000006,-326.387241,-106.18043,31.590769800000004,-137.634704,5.89390171,48.6564898,-90.1866192,-14.4643449,27.795523600000006,-74.89872940000002,-35.6704445,319.743062,614.5231349999998,1317.35722,304.303937,-480.847277,-180.332584,-90.7926315,-214.691067,-56.7157161,-17.559229600000002,-146.515105,-89.9529083,-23.1418555,-132.352008,-99.0234516,laugh
419.9637913379316,1132.6555506344832,1893.5619384827594,407.7738859586207,-306.1325341393103,-113.85798634820688,2.9043751853406867,-121.93928916551731,9.32680480387586,31.891920654827594,-71.7738559611724,-6.477506645979311,9.89131839904896,-62.59365718954485,-18.474863895931033,148.75908179820925,107.98955004218723,365.359947214013,88.41192530680433,102.27624248664516,45.13779991041249,29.38517536472665,39.74294172098452,31.612671279541598,24.483318139415896,34.3587057837496,29.050969132302026,25.651453183669926,34.12815005049921,41.59752062709657,791.471174,1198.60298,2489.24074,582.824042,-51.6608427,7.42801378,72.28873979999999,-40.8625229,89.0645916,91.416542,1.20652055,72.7966181,69.18411309999999,20.7462836,84.1327208,371.058143,1178.40102,1907.12963,432.106373,-334.976517,-115.604553,5.25391999,-116.314382,11.3566594,31.5572685,-68.2486066,-7.132031,13.8784325,-65.9611316,-30.637684000000004,178.743468,280.717978,1141.69175,170.19976699999995,-471.495244,-227.92973,-77.973972,-235.796089,-66.5950554,-25.0761517,-171.915193,-58.6279736,-62.4563927,-127.819801,-85.9056705,laugh
466.72816528965615,817.5378974275869,1652.0356169379309,342.0596488965517,-200.25802120896552,-72.57106916702068,21.99303811764275,-98.09338632041381,-7.188434804317235,49.33920389508277,-34.647181756034485,-25.11045334993103,-4.994913502206202,-51.574050737682754,-23.657960254386218,168.25313057422443,116.21577680953051,301.2354723260325,111.39119570153332,110.43987193216158,58.710584889018335,30.171003358598565,44.51388559312776,61.690766186145915,58.57523687494234,45.92092869957337,33.11062895041283,43.767830428039595,47.50428191843447,55.963101227625764,764.568397,1191.18062,2441.23374,580.255704,-37.2106158,35.0788193,80.6313823,-7.95315356,100.397027,164.976346,64.7129352,52.8406733,72.3707437,33.496446500000005,143.060891,353.014796,854.0559109999998,1635.14691,306.892773,-214.367502,-76.1875519,23.663216,-87.4472054,9.60318315,36.142502,-45.5185894,-26.036793600000006,10.2915594,-43.8045803,-23.8623783,277.966336,455.144999,852.741131,134.891822,-421.702615,-201.274324,-61.6747197,-224.903846,-148.36435500000005,-56.9987969,-114.767983,-88.6055011,-150.386122,-177.281357,-132.09584099999998,laugh
