f0_mean,f1_mean,f2_mean,mfc0_mean,mfc1_mean,mfc2_mean,mfc3_mean,mfc4_mean,mfc5_mean,mfc6_mean,mfc7_mean,mfc8_mean,mfc9_mean,mfc10_mean,mfc11_mean,f0_std,f1_std,f2_std,mfc0_std,mfc1_std,mfc2_std,mfc3_std,mfc4_std,mfc5_std,mfc6_std,mfc7_std,mfc8_std,mfc9_std,mfc10_std,mfc11_std,f0_max,f1_max,f2_max,mfc0_max,mfc1_max,mfc2_max,mfc3_max,mfc4_max,mfc5_max,mfc6_max,mfc7_max,mfc8_max,mfc9_max,mfc10_max,mfc11_max,f0_median,f1_median,f2_median,mfc0_median,mfc1_median,mfc2_median,mfc3_median,mfc4_median,mfc5_median,mfc6_median,mfc7_median,mfc8_median,mfc9_median,mfc10_median,mfc11_median,f0_min,f1_min,f2_min,mfc0_min,mfc1_min,mfc2_min,mfc3_min,mfc4_min,mfc5_min,mfc6_min,mfc7_min,mfc8_min,mfc9_min,mfc10_min,mfc11_min,class
493.49692696551654,1046.8089824275864,2204.096641310345,273.42569153103443,-385.1769072,13.233235697551722,-16.323305249751733,-85.38254064075863,-21.33514363326207,27.985573870641357,-53.34076141006899,30.213103629062076,33.17199282044069,-33.1147794936138,18.519342203289654,40.65180709686679,67.07287093465297,134.67771275633172,31.2645897245177,75.33984900452059,32.62017506982279,35.056778974284995,31.577588195108977,27.14713848812069,28.35058768881388,18.772797489106313,33.99186719546109,27.336149406906024,26.350815496772395,31.511239598533045,592.94557,1194.99075,2411.05464,352.889398,-155.203364,80.3153295,65.0665706,-3.01029657,36.3713157,99.1653057,7.9763247,89.64698270000002,98.1265423,27.6662658,104.188585,469.466075,1043.40106,2210.85048,268.444961,-404.4887240000001,13.1054278,-15.101819400000002,-92.5348113,-22.7840728,29.197428100000003,-54.6749686,34.2189651,32.738333600000004,-36.2396243,24.340475100000006,430.160279,840.834923,1512.63098,181.891775,-487.731666,-63.950470900000006,-112.831616,-137.94892099999998,-111.392844,-62.61203489999999,-97.9616735,-68.2041338,-30.5450929,-79.60514659999998,-73.6813597,cry
518.5950482482759,1054.6632691586206,2069.008656965517,342.90368696551707,-383.8736789517242,-60.224792374013774,5.133659871166209,-73.68453641241382,-11.528305362564137,39.62351419466897,-31.383013039579307,23.548176239944837,32.17994409184829,-66.32968206982066,-2.6125361131448246,53.34274744327349,82.46178974664822,185.87365060394168,31.64431943952101,57.11314081846806,29.5293050797632,30.033861997574938,24.552993241684636,24.816799971296827,32.706755406607996,32.419140995595676,25.962505787954306,20.177170378534548,24.38194793038123,31.924758241719296,793.735097,1197.5041,2434.18628,423.74436,-210.441911,8.11436703,79.0560431,-22.8001913,71.6649713,90.3850413,33.5172696,70.27855129999999,77.7076342,1.74548194,67.19848950000001,491.579086,1077.54047,2108.56034,343.771653,-379.319549,-65.8546983,7.060672500000001,-71.5241185,-10.7289246,48.5180857,-28.869423,28.4664927,32.2203236,-67.74003959999999,-0.499346272,420.335257,559.3270809999998,1488.95899,268.55322,-489.3701,-124.948579,-65.3527751,-138.391804,-70.845007,-49.10291760000001,-108.051657,-47.9737815,-16.9418342,-136.428832,-103.451307,cry
559.7671471862067,1036.8080846068963,2168.791583241381,333.50258615862055,-364.42842803448275,27.46432753025518,66.81460414551721,-59.744294121379326,-7.193628884013797,46.52010999240688,-69.30322282331035,-7.297812770510342,50.109312823862076,-26.016874072903448,-5.64142246890483,45.6014786468183,141.86115746695924,163.54620162932076,36.90625221979244,36.75831165400905,36.38335108045194,27.166044480310116,19.679637642493987,24.094081943848177,28.56178165993984,29.12791176709901,27.58960276867565,25.55487510907188,32.43308250317881,44.17737349439472,619.146434,1199.1694,2381.51799,437.230804,-181.242567,106.398903,141.432998,-12.6101209,45.7285859,133.42712,5.57899509,50.5625301,127.661487,36.5954839,115.77808600000002,570.531166,1087.01557,2230.50732,334.951869,-371.711233,26.300349800000006,64.5900848,-59.96178270000001,-4.88492773,45.7698151,-65.7265347,-1.5969944,47.7249128,-35.6217192,-12.6643007,448.8169400000001,287.455574,1791.32498,237.095303,-425.159803,-71.5078642,12.5106002,-105.739292,-72.1448485,-23.3260885,-145.225245,-87.537134,1.32011175,-85.9932698,-95.2665744,cry
14.244079097744361,1054.6107155714285,2110.4148985714287,323.5620195488722,-339.77841206766925,39.49451328712031,-27.096975744090223,-51.46787993601505,3.1976039463082695,18.664982785375955,-52.36373586022556,51.127420164924786,17.346389669481205,-40.47071606397743,39.42269713748871,81.19683240275864,63.78535658650232,150.75182326345464,37.71556070434636,57.283031613860416,33.944548327364885,31.035788842923193,19.765448652568416,26.685407153874802,20.859829891046804,23.19438940682803,28.874349316521577,20.12567450640295,16.5197785829984,15.800181768380865,474.758216,1190.41721,2412.84257,412.828082,-200.743471,127.84104,33.1686451,-2.90854679,61.2501157,60.3567769,-5.67738321,121.255542,64.9970244,-0.160637779,79.4049661,0.0,1061.92954,2127.23478,322.843767,-344.1425910000001,41.3962781,-30.0097862,-49.0878694,5.90805151,17.414405399999996,-52.7584506,55.320304500000006,16.0993239,-40.404398,40.57706,0.0,910.182192,1715.42822,199.461794,-469.266295,-55.241923,-112.122741,-113.20103799999998,-69.53605300000001,-32.4577372,-110.859332,-23.1968664,-33.1594875,-88.0970432,0.756846476,cry
487.4722174413792,1126.730108800001,1828.9946478620686,326.23084633793104,-424.9823393379311,-142.1271926413793,28.758255183689666,-114.53315872482756,13.931459697989647,45.19736836668965,-64.83088621317243,-1.798412491152419,17.929627545641583,-32.459423443586196,33.665413169172425,47.091989297143684,199.22764605870293,256.59614998836435,61.9555491606364,123.09192808549756,31.234220448854032,29.998115874483066,28.849037100914032,44.39843793763766,30.399948633398534,24.45041942378961,29.10687858017598,21.068222291771214,48.55834290730126,36.419361545984344,550.508155,1285.64061,2493.45319,495.430619,-134.88691200000002,-40.6822176,112.29397,-64.389188,95.5203239,103.732991,-8.61593895,52.5534137,72.24053690000002,107.531147,139.437658,500.136872,1285.64061,1781.3644399999996,340.280905,-463.558486,-137.707414,23.172203600000003,-112.262001,11.2130751,45.3331217,-62.64673120000001,1.73422524,17.1643792,-44.5754486,28.8839554,272.23111800000004,624.541329,1382.39822,187.380249,-634.014151,-219.694203,-43.4765438,-195.0992,-117.466815,-50.3170199,-127.476304,-72.4277167,-34.0645229,-110.771785,-43.2347468,cry
563.8673181678321,1402.3413605035,2125.023318881118,311.60711038461545,-414.182229174825,-140.50566869580413,67.33204130013986,-67.32349394651749,21.080706072699286,52.317523641272714,-75.87477439510492,-20.030129609085318,57.200375766489536,-5.4391622733006955,18.819808428048947,97.53440988425021,151.8934714124547,220.83961821114067,66.11285612877822,75.46809390103436,50.255184028980246,37.2723896492737,44.02202729006631,44.286486967137385,29.48519784946834,27.533236328820603,37.37167236495316,33.43441608377004,42.08051004177285,27.7937872391403,799.897546,1441.80506,2499.60818,510.38692,-123.904806,-22.0412004,166.50833899999995,38.8987034,94.7974873,108.393084,-16.9326681,43.10292370000001,120.317477,90.283869,78.8730417,549.532311,1441.80506,2189.70872,323.876714,-425.747929,-145.92545800000005,65.219763,-69.9277738,22.0578382,55.501127,-79.1328965,-11.5096014,63.1483978,-0.642543411,20.3270663,283.768102,395.64123,1499.26622,136.010684,-523.586894,-285.344507,-37.7430539,-141.47462,-121.910952,-22.3832534,-134.900904,-98.9875147,-17.0256537,-99.1043426,-58.45388240000001,cry
134.16133907586212,1021.5470149517242,2077.4467797931043,356.6166802068964,-378.7457049310346,-22.137601651117247,-22.547851783937922,-85.03005024068962,-28.653627235413797,14.121307690751726,-93.7845388751724,-29.0322716434131,46.18148809354483,-54.68454131517242,10.562898590862064,217.1223520234016,167.39903236583748,136.6694995984041,32.67098446189896,73.27793692551454,39.989057632856245,53.311387563366324,28.589572707329808,28.71096642284104,24.51868665984031,25.931210165998987,20.4924081395481,26.319225581906792,18.261722762639568,22.667917711210652,597.191209,1196.8559,2347.40649,448.249409,-188.536077,62.0736016,101.48252,-14.1849605,38.7340991,75.4131585,-29.796286,18.7704325,127.691218,19.4464583,74.1719671,0.0,1127.30872,2088.56455,354.103381,-384.726855,-25.6263492,-34.120200200000006,-81.8351985,-28.1905529,15.8454006,-92.1235999,-28.3635762,45.6129145,-54.32135450000001,8.1455594,0.0,435.514415,1668.11965,257.917409,-521.5940879999998,-109.268359,-120.449165,-146.57654,-111.419826,-57.2665355,-159.741328,-71.5620266,-8.70033197,-98.316646,-37.90929379999999,cry
165.7572084896552,1269.7722211999994,1964.172380482759,301.82223043655176,-376.26907758068944,-79.98707040482765,8.338207304296551,-63.63415109379313,-11.247091216594756,39.75119120762562,-74.67719463999997,-61.99448913048277,17.389149803586207,-42.01424368299998,-2.977750249393102,273.3232024121528,305.65398952438585,171.739417917224,58.96275402687147,139.7732468401288,33.88676222041126,37.49699416067752,43.83937757246127,45.72724538719312,39.78262705140272,27.329334023640563,35.930270378871725,29.450907107635185,33.077418990721945,34.60736791370317,769.744267,1463.36065,2370.55575,467.55856,-63.3482933,-19.7626178,70.9865242,8.66579893,82.06075990000002,118.73327,-16.5159175,69.0908171,103.693563,46.634005,78.8174695,0.0,1463.36065,1961.07321,297.8182490000001,-439.587814,-75.6916245,16.212700299999998,-60.40570129999999,-11.1981439,41.0978341,-73.8883438,-65.26405679999999,20.6278095,-47.69353,-10.0805066,0.0,614.48748,1492.88093,79.9523088,-530.839887,-181.336098,-117.963578,-159.37293200000005,-98.3226313,-54.6364085,-150.793523,-134.903253,-45.44739600000001,-109.954672,-68.93919759999999,cry
549.448437673759,1068.558158120568,2207.1956617021283,291.268837468085,-389.52362726241137,-136.69958832198577,55.19950801118441,-91.6498273394326,-4.150951878439707,72.53602679829788,-34.27399491824185,-1.4416433463737552,59.66829941085106,-48.03750040252483,-70.55566008716312,74.87908741361667,85.95167757233631,208.70878431681808,51.262723328563716,51.01180461510856,34.989074202219115,45.1762186511792,46.44752815148656,44.284603901672114,39.905507138380564,38.153697134329136,26.751460869193824,33.15392981584635,35.26936158967451,45.51978558501574,693.4018570000002,1199.23206,2465.6355,550.9574230000002,-252.10193,-64.07416629999999,136.887178,-8.62628896,78.11027259999999,150.543046,73.7365424,82.0525865,127.279025,30.2845217,105.635085,549.834367,1131.00237,2205.97211,291.463118,-398.966223,-132.435351,50.8918254,-78.7713509,9.58049871,80.1625656,-37.3454677,0.723913068,59.2955774,-52.0117718,-80.0378498,338.5498120000001,846.7892199999999,1164.98568,177.991006,-474.146683,-246.681656,-67.2505594,-205.196133,-112.70436399999998,-19.0646036,-93.025216,-66.240125,-58.1367676,-119.49558,-149.482901,cry
418.35390173282485,1422.18785053435,1972.757817099236,372.73927521374054,-432.09416218320627,-137.87926328625957,64.91441846969461,-101.14537805351145,-3.7493624017099223,21.463750947053445,-95.35625628702296,-18.247283090839687,12.405923596908398,-58.15431745709925,20.15502677927481,46.39540526540909,87.76779347671722,190.68688175320796,51.0569613274905,79.26542369772214,24.729081714262335,33.93758813269323,31.6062053767648,24.302825377109844,23.223723123837186,21.579641616035175,21.672227871242537,22.808334775182548,16.536285907602096,20.35010673850423,481.813233,1448.35965,2481.81659,485.115857,-146.52338500000005,-67.035146,133.167031,-6.01574261,49.6461008,70.2648681,-25.7959366,28.0827829,58.4381613,-1.29038958,83.75265429999997,429.2368110000001,1448.35965,1939.18618,366.179699,-453.766007,-139.168854,67.0747063,-102.104509,-0.255782636,23.4136307,-97.9294814,-16.6126869,11.4817716,-60.8765677,17.323414399999994,317.689129,1062.10959,1636.75078,185.294981,-511.12684800000005,-208.787567,-23.8340867,-166.10391299999995,-62.50703910000001,-39.0894228,-146.492307,-68.6710002,-39.30531970000001,-90.8317934,-27.834606,cry
